iter	RMSE
503	0.741152957
504	0.7401418304
505	0.7391685812
506	0.7390014148
507	0.7383952878
508	0.7382032218
509	0.7373510236
510	0.7361273699
511	0.7353144084
512	0.7343787545
513	0.7339502949
514	0.7325532823
515	0.7316443704
516	0.7314455383
517	0.7305819058
518	0.7297554761
519	0.7286570767
520	0.7278028636
521	0.7270150958
522	0.7258131014
523	0.7250084803
524	0.723823986
525	0.7222735545
526	0.7212095305
527	0.7202699944
528	0.7191227025
529	0.7188546018
530	0.7180009484
531	0.7177600608
532	0.7168881897
533	0.7166797396
534	0.7153681577
535	0.7144775672
536	0.7136985366
537	0.7128378047
538	0.712682756
539	0.7118915853
540	0.7111086563
541	0.7107714885
542	0.7099980776
543	0.7097031603
544	0.7088972803
545	0.7085463861
546	0.7084194674
547	0.7082602983
548	0.7078641455
549	0.707712519
550	0.7069735922
551	0.706051895
552	0.7052411362
553	0.7041509136
554	0.703033316
555	0.7029049797
556	0.7021820904
557	0.7014584918
558	0.7004351182
559	0.6991130358
560	0.6986609798
561	0.697945244
562	0.6967967887
563	0.69592721
564	0.6957409911
565	0.6955874591
566	0.6953906257
567	0.695244008
568	0.6950508931
569	0.6941386809
570	0.693810061
571	0.6931316241
572	0.6922106054
573	0.6917653182
574	0.6906985659
575	0.6902078761
576	0.6898888828
577	0.688838419
578	0.6875750704
579	0.6866301272
580	0.6859452607
581	0.6857846175
582	0.6856114052
583	0.6851727414
584	0.6839509925
585	0.6832835415
586	0.6825602198
587	0.6819002577
588	0.6809154392
589	0.6807721342
590	0.6797610427
591	0.679253584
592	0.679075152
593	0.6789360186
594	0.6786394012
595	0.6784794211
596	0.6778028698
597	0.6771075987
598	0.6768868676
599	0.6759226893
600	0.6750906932
601	0.6736743057
602	0.673527583
603	0.6733929507
604	0.6732843176
605	0.6724530381
606	0.6715120867
607	0.670328142
608	0.6691824346
609	0.6682114399
610	0.6680070496
611	0.6677907065
612	0.6672982985
613	0.6666592838
614	0.6659429704
615	0.6653175468
616	0.6650358475
617	0.6642250482
618	0.6638632648
619	0.6629738685
620	0.662811274
621	0.6617589303
622	0.6615986557
623	0.6605609272
624	0.6595391574
625	0.6588470679
626	0.6585893848
627	0.657560852
628	0.6568862481
629	0.6562736258
630	0.6555363815
631	0.6545776299
632	0.6537538503
633	0.6530881184
634	0.6521914214
635	0.6515354043
636	0.6506115531
637	0.650313381
638	0.6493734051
639	0.6491510216
640	0.648106947
641	0.6477518325
642	0.647394063
643	0.6462701209
644	0.6456193748
645	0.6454633657
646	0.6451962333
647	0.6439281512
648	0.6435585847
649	0.6434211401
650	0.6424006088
651	0.6413080245
652	0.6411594593
653	0.640323651
654	0.6392397215
655	0.6390397281
656	0.638670475
657	0.6385291856
658	0.637437651
659	0.6363776376
660	0.6357946414
661	0.6347537214
662	0.6333759313
663	0.6325663744
664	0.632419405
665	0.6315029846
666	0.6308976033
667	0.6304465477
668	0.6298241377
669	0.6292643216
670	0.6289112829
671	0.6279125388
672	0.6272300458
673	0.6267337723
674	0.6261181618
675	0.6255276169
676	0.6249601899
677	0.6244643158
678	0.6241679145
679	0.6235096379
680	0.6227387821
681	0.6225541548
682	0.6224357829
683	0.6221248612
684	0.6213592734
685	0.6206766773
686	0.6197885394
687	0.6189667502
688	0.6184862326
689	0.6178523283
690	0.6174864639
691	0.6173378983
692	0.6169684356
693	0.6160592789
694	0.6157554728
695	0.6154161308
696	0.614438024
697	0.6135777117
698	0.6127262839
699	0.6125444959
700	0.610958941
701	0.6099950274
702	0.6092946826
703	0.6084797461
704	0.6081529165
705	0.6078892951
706	0.6075122174
707	0.6070504835
708	0.606121994
709	0.6054670966
710	0.6047287798
711	0.604124974
712	0.6035381256
713	0.6034086176
714	0.6025600587
715	0.6019718296
716	0.6013901877
717	0.6007867792
718	0.6002152512
719	0.5996521757
720	0.5995392837
721	0.5994039312
722	0.5988489937
723	0.5986096075
724	0.5985214719
725	0.5976976468
726	0.5974225529
727	0.5968564272
728	0.5966883861
729	0.5961366826
730	0.5956125545
731	0.5946463104
732	0.5939252566
733	0.5938144967
734	0.5929297217
735	0.5925291126
736	0.5920893449
737	0.5919823772
738	0.5914471013
739	0.591148673
740	0.5905994137
741	0.5903346721
742	0.5896246974
743	0.5889330965
744	0.5883976048
745	0.5877687119
746	0.5868145194
747	0.5860286285
748	0.5858290862
749	0.5852669425
750	0.5844052667
751	0.5838695974
752	0.5832518801
753	0.582908697
754	0.582057058
755	0.5815367857
756	0.5810129591
757	0.5805184962
758	0.5800021621
759	0.5797560516
760	0.5795682671
761	0.5788118703
762	0.5784672554
763	0.5779822766
764	0.5777091034
765	0.5775995597
766	0.5770862268
767	0.5763330898
768	0.5757356813
769	0.5749792286
770	0.5748010956
771	0.5744823316
772	0.574086406
773	0.5734752281
774	0.5726043193
775	0.571793809
776	0.5716943825
777	0.5708890927
778	0.5699798003
779	0.5692842624
780	0.5684458397
781	0.5678204296
782	0.5670807741
783	0.5664031123
784	0.5657406232
785	0.5650773528
786	0.5644896544
787	0.5636361868
788	0.5628686248
789	0.5622334718
790	0.5619787241
791	0.5614616235
792	0.5609769189
793	0.5604754766
794	0.5603655959
795	0.5598399313
796	0.5589769244
797	0.558742294
798	0.5586541512
799	0.557955888
800	0.5576477207
801	0.5571237511
802	0.5568729554
803	0.556413843
804	0.5558332074
805	0.5552016858
806	0.5549794891
807	0.5544226024
808	0.55432961
809	0.553810142
810	0.5528801815
811	0.552570908
812	0.5521166837
813	0.5515013646
814	0.5513787298
815	0.5508688639
816	0.5507794701
817	0.5506846466
818	0.5504477629
819	0.5497119335
820	0.5489377294
821	0.5483722613
822	0.5476529356
823	0.5465592135
824	0.5458538157
825	0.5456261825
826	0.545191803
827	0.5451081251
828	0.5446195221
829	0.5441687246
830	0.543394282
831	0.5426214813
832	0.5418993126
833	0.5408061238
834	0.540166354
835	0.5394523525
836	0.5389910114
837	0.5388602857
838	0.5381331211
839	0.5374858329
840	0.5364099618
841	0.5363158307
842	0.5356958074
843	0.5355555294
844	0.5345533744
845	0.5340987702
846	0.5339918802
847	0.5334504047
848	0.532976464
849	0.5325914898
850	0.5323036032
851	0.5317536633
852	0.5312996132
853	0.5312484111
854	0.5304731213
855	0.5300170426
856	0.529788348
857	0.5289789041
858	0.5287181034
859	0.5285137176
860	0.5281564937
861	0.5276149866
862	0.5273951104
863	0.5272581864
864	0.5269894173
865	0.526637756
866	0.5260300206
867	0.525627807
868	0.5248918109
869	0.5246952469
870	0.5235927933
871	0.5230241518
872	0.5226340903
873	0.5222005642
874	0.5214112439
875	0.5211177806
876	0.5208480002
877	0.5203844963
878	0.5199618165
879	0.5193762045
880	0.5187033323
881	0.5184594537
882	0.518234913
883	0.5178932747
884	0.5177088913
885	0.517633731
886	0.5172960197
887	0.5166228303
888	0.51642073
889	0.5159307004
890	0.5157348304
891	0.5156428036
892	0.514962727
893	0.5148876933
894	0.5142303429
895	0.5137152378
896	0.5130684617
897	0.5124091296
898	0.5123315332
899	0.5118118414
900	0.5116969768
901	0.5111448662
902	0.5103320162
903	0.5097622575
904	0.5096211237
905	0.509111061
906	0.5089009053
907	0.5082478426
908	0.5079479649
909	0.5078508351
910	0.5074052835
911	0.5071404428
912	0.5067361311
913	0.5060474404
914	0.505700807
915	0.5053563493
916	0.5046648981
917	0.5041398889
918	0.5036406966
919	0.503224239
920	0.5028670176
921	0.502795935
922	0.5021489953
923	0.5015880124
924	0.501150579
925	0.5007534859
926	0.5006269738
927	0.5001982927
928	0.499710389
929	0.4993886637
930	0.4991710777
931	0.4986921725
932	0.4978773397
933	0.4974782715
934	0.4973069592
935	0.4968320514
936	0.4965820327
937	0.4960413873
938	0.495653124
939	0.4954617401
940	0.4948194556
941	0.4945539333
942	0.4941043036
943	0.4936730557
944	0.4931241216
945	0.4927070507
946	0.4922493386
947	0.4912311704
948	0.4911431963
949	0.4905096959
950	0.4904411655
951	0.4903256917
952	0.4900821911
953	0.489707042
954	0.4895276118
955	0.4893197015
956	0.4886525114
957	0.4882412483
958	0.4881448537
959	0.4878713508
960	0.4872304282
961	0.4869368226
962	0.4861596411
963	0.4856960992
964	0.4856016053
965	0.4846954559
966	0.4840748199
967	0.4836309181
968	0.4831425404
969	0.4822519429
970	0.4818160567
971	0.4811477894
972	0.4806562157
973	0.4804686144
974	0.480198669
975	0.4797408132
976	0.4792023064
977	0.4789781297
978	0.478487377
979	0.4780579442
980	0.4774083957
981	0.4770056249
982	0.4763725472
983	0.4759084527
984	0.4757527896
985	0.4753861888
986	0.475106308
987	0.4748204433
988	0.4746233563
989	0.4743673617
990	0.4741788206
991	0.4735044859
992	0.4732964488
993	0.4729465217
994	0.472689364
995	0.4725281827
996	0.4718853774
997	0.4714749599
998	0.4712515252
999	0.4709815897
